subscription_id,account_id,subscription_start_date,subscription_end_date,trial_start_date,trial_end_date,revenue
96d87f27-c4e3-401e-9efd-795834b12e1b,914fddea-7a72-4712-82dd-5b4590f9b670,2019-01-08,2020-01-08,2019-01-01,2019-01-08,1016.28
91838d2f-5cc1-448c-95d2-05dce13f0090,7e6ccf6b-16e1-4ea1-9057-ead81ac1cedd,2019-01-01,2020-01-01,,,755.67
7cb08fd7-9440-4a17-9cbd-674954d9b1c5,f7b65b83-2e33-4926-b36a-f37fead86623,2019-01-01,2020-01-01,,,999.89
ab2b038d-e56c-4102-8662-dedbff889235,f9b33d91-66d1-485c-8c6e-d27bdb46d605,2019-01-08,2020-01-08,2019-01-01,2019-01-08,971.82
183c7790-06fb-40f8-acf4-f3c78db265fd,c5124861-4163-409d-a419-c87681537371,2019-01-02,2020-01-02,,,1280.93
0adab5fa-ec35-4e1e-9da5-70bd45d684f6,c0463e2b-ca34-4f2c-b50f-a418df8923de,,,2019-01-02,2019-01-09,
73f54f57-d366-43e0-8408-785332db207b,70840455-af47-4816-8792-6c7b8d18fb23,2019-01-02,2020-01-02,,,905.53
ece4a01a-9a96-4bee-9006-577405adc05e,f69dca85-131e-45a5-802a-8c197f0b1137,,,2019-01-02,2019-01-09,
6549855e-bc71-4f3f-abfc-2f6cd626e0b7,b25c453e-04e7-45f3-9279-289c1ff2e805,2019-01-02,2020-01-02,,,1198.34
21da15c6-bd98-44ad-9e55-ba43c7e640ae,eb185350-ba04-4913-b78c-7f0672cdf34f,2019-01-10,2020-01-10,2019-01-03,2019-01-10,1198.38
37fafe0b-8633-420d-b57c-afc49bb69700,5a15f0ea-8e65-4cd9-a2ea-05b7793b356d,2019-01-03,2020-01-03,,,951.75
03d41b2d-3861-4d64-aa26-bf1580eec4fc,082b1c4f-00d8-4471-9e17-2a652e3ce40c,2019-01-10,2020-01-10,2019-01-03,2019-01-10,933.34
ead38435-719a-42ec-9058-4f9d3ddbc62c,2e498300-de0e-414a-a5e0-c63a11b23130,,,2019-01-03,2019-01-10,
dd90e667-03f9-45e1-814f-3cbbeec3dfa6,74fbafcd-0979-4f4a-a5e6-0de8174d9739,2019-01-03,2020-01-03,,,1471.52
26e6103e-5485-4965-a238-40a4f3278c6c,fb2335c2-b1ee-4c9b-ba28-60902b7b6584,,,2019-01-04,2019-01-11,
6af9e7fb-df37-4778-b0df-01993aa01451,ab0a4448-3949-4ec8-8ec1-c940998069d7,,,2019-01-05,2019-01-12,
a4d14465-2eb1-47dc-8204-e59fbc8fb00c,92bb1b06-d5fa-4e5c-a270-a482831fd6cd,2019-01-05,2020-01-05,,,1002.69
7240dc17-4f92-4678-a374-b4d1930053f3,7edba309-302d-4c1a-b0c8-8626955fa5ea,,,2019-01-06,2019-01-13,
b9471b19-a98e-40cd-b180-4be841156d50,32ef603c-dc56-417b-901f-86cdcd1776ed,2019-01-13,2020-01-13,2019-01-06,2019-01-13,879.13
bd7baecb-bca2-494e-a108-e61ac1834d51,36216c73-3583-4a6d-8051-886093dba932,2019-01-15,2020-01-15,2019-01-08,2019-01-15,827.7
5c44807e-c9c7-469d-9363-53f1449f3494,5608c523-5087-4331-a10e-e0181262e60e,2019-01-08,2020-01-08,,,976.93
b6bc25ef-bc4e-485d-a9a6-c40749d2c5d6,2b0d509b-9962-4e90-a160-d752ff4ceddd,2019-01-08,2020-01-08,,,945.85
0e03b3ed-1d29-4d37-b667-c0a3b7f3e0dc,98309443-0c43-443c-8dd5-bfb73e60aa36,2019-01-08,2020-01-08,,,1373.85
bb101986-c7d7-4cae-abdd-202dcbe7c2e4,20bb69d2-e3dd-46bf-91b8-763034696f76,,,2019-01-08,2019-01-15,
3c1552d1-63d1-4875-81ed-ccd0da6a7502,c2e8b453-2e58-4ef2-9c59-bd189f8a6d85,,,2019-01-08,2019-01-15,
38665720-b7a9-41d1-8f76-cc0b8d525528,bf9c20f1-3636-46aa-b71f-0d3e71324d17,2019-01-09,2020-01-09,,,995.73
0f37f29f-23e9-4b17-98b5-9832127f0050,8926fe8d-724c-4178-b31c-c6aeac40c668,,,2019-01-09,2019-01-16,
10da9d31-4076-45fd-81e9-1cde5b006c76,fdeb3472-8975-4be7-98e5-536259c01d0e,2019-01-10,2020-01-10,,,1074.48
9c7eec87-f5e7-46dc-ad47-0071e49c365c,986ee2d1-c94e-442e-90f9-537a32e4484c,2019-01-10,2020-01-10,,,580.54
e44bd537-8637-489f-80a6-58ad63dc712a,e55238e4-9218-44d6-bb29-aae0cc9691c1,2019-01-17,2020-01-17,2019-01-10,2019-01-17,1104.72
05570f8e-a885-4e11-a2d5-aaf818186dca,1b368808-cfe3-4a0c-b0a3-f1c20fb8b032,2019-01-19,2020-01-19,2019-01-12,2019-01-19,836.07
7d13b962-def9-4bbc-97aa-0b7635d78f25,7cce982b-5e32-45e5-b0f8-bc4e29e91422,2019-01-19,2020-01-19,2019-01-12,2019-01-19,756.02
a85c6425-f6c5-4c42-8ce9-1feaad060409,e0428cd7-6d38-4688-825c-b33d4f3c7aa2,2019-01-12,2020-01-12,,,1235.9
daf2a55e-4380-4e68-8d1f-901dc28ea668,090fcf58-ce07-4ca5-8419-f980cdf70b66,,,2019-01-12,2019-01-19,
104dfdf6-70c8-4fd9-b34b-46ba435e0ace,50f31a5e-35f6-4401-b615-7d299af547e1,2019-01-20,2020-01-20,2019-01-13,2019-01-20,616.63
13b5ad5a-af99-42e8-b37a-2371f32469f0,9207fcba-d162-48fb-b897-b2610fb0b061,2019-01-13,2020-01-13,,,607.74
16104260-6957-43ff-95ef-f7557eb7ca2e,a726348f-a571-4f69-b3fc-f4ad5915302e,2019-01-13,2020-01-13,,,655.22
7ea8bc43-0ec3-465a-a8b3-b729abd10502,345148ea-5e87-452c-b3f4-0c387b34d35b,,,2019-01-14,2019-01-21,
7386589c-daba-4c07-99ea-23e08dcaea66,c80e928c-7e32-4aaa-aff5-2c6d6c982a16,,,2019-01-14,2019-01-21,
b5d8cdd6-1914-4732-b154-1bb6c8973ea7,b44f02c0-6069-4a91-b8db-fa6d69c92919,2019-01-14,2020-01-14,,,885.37
4dde2035-e5b5-479d-84f5-eedd7b82b80f,aa5368e9-9ef1-4478-9d14-ac724f1bf29f,2019-01-15,2020-01-15,,,876.57
f85f184e-5802-45e0-afd8-06fbe8213660,a11c0088-0bb4-47c6-b9b0-3ef308c8945d,,,2019-01-16,2019-01-23,
007650aa-a59e-41b3-bb8a-16ec6e06f9c9,998ce43d-fe7f-4939-a2d5-f8ae49c1b0e6,,,2019-01-16,2019-01-23,
d13c4d86-03c8-428d-a172-148d94d1960e,96e57f6f-c47c-43f3-9aa2-9e0c86aebf18,,,2019-01-16,2019-01-23,
